   t		   e1rho1	   e1rho2   	   e2rho1	   e2rho2	   e3rho1   	   e3rho2  	   e4rho1          e4rho2          e5rho1          e5rho2	   e6rho1	   e6rho2	   e7rho1	   e7rho2	   e8rho1	   e8rho2
   3.5000000e+01   1.2928650e-01   2.3927237e-02   0.0000000e+00   3.7308848e-02   1.2282032e-01   1.4770762e-02   3.6108947e-02   0.0000000e+00   0.0000000e+00   1.3975297e-01   0.0000000e+00   1.1249153e-01   0.0000000e+00   3.0211830e-03   4.2184384e-02   0.0000000e+00
   3.6000000e+01   1.3203777e-01   2.5210469e-02   0.0000000e+00   3.9148008e-02   1.2537677e-01   1.5376390e-02   3.7797037e-02   0.0000000e+00   0.0000000e+00   1.4295707e-01   0.0000000e+00   1.1461132e-01   0.0000000e+00   3.2368434e-03   4.4362448e-02   0.0000000e+00
   3.7000000e+01   1.3473982e-01   2.6516537e-02   0.0000000e+00   4.1012488e-02   1.2789205e-01   1.5981064e-02   3.9498800e-02   0.0000000e+00   0.0000000e+00   1.4611552e-01   0.0000000e+00   1.1668757e-01   0.0000000e+00   3.4590769e-03   4.6575484e-02   0.0000000e+00
   3.8000000e+01   1.3739343e-01   2.7844649e-02   0.0000000e+00   4.2901347e-02   1.3036734e-01   1.6584322e-02   4.1212965e-02   0.0000000e+00   0.0000000e+00   1.4922898e-01   0.0000000e+00   1.1872160e-01   0.0000000e+00   3.6877078e-03   4.8822267e-02   0.0000000e+00
   3.9000000e+01   1.3999935e-01   2.9194023e-02   0.0000000e+00   4.4813681e-02   1.3280376e-01   1.7185728e-02   4.2938307e-02   0.0000000e+00   0.0000000e+00   1.5229807e-01   0.0000000e+00   1.2071466e-01   0.0000000e+00   3.9225562e-03   5.1101599e-02   0.0000000e+00
   4.0000000e+01   1.4255831e-01   3.0563890e-02   0.0000000e+00   4.6748615e-02   1.3520239e-01   1.7784878e-02   4.4673647e-02   0.0000000e+00   0.0000000e+00   1.5532345e-01   0.0000000e+00   1.2266796e-01   0.0000000e+00   4.1634384e-03   5.3412311e-02   0.0000000e+00
   4.1000000e+01   1.4507105e-01   3.1953495e-02   0.0000000e+00   4.8705304e-02   1.3756428e-01   1.8381394e-02   4.6417850e-02   0.0000000e+00   0.0000000e+00   1.5830576e-01   0.0000000e+00   1.2458266e-01   0.0000000e+00   4.4101677e-03   5.5753264e-02   0.0000000e+00
   4.2000000e+01   1.4753829e-01   3.3362093e-02   0.0000000e+00   5.0682934e-02   1.3989043e-01   1.8974924e-02   4.8169826e-02   0.0000000e+00   0.0000000e+00   1.6124563e-01   0.0000000e+00   1.2645988e-01   0.0000000e+00   4.6625552e-03   5.8123344e-02   0.0000000e+00
   4.3000000e+01   1.4996073e-01   3.4788957e-02   0.0000000e+00   5.2680714e-02   1.4218185e-01   1.9565142e-02   4.9928524e-02   0.0000000e+00   0.0000000e+00   1.6414370e-01   0.0000000e+00   1.2830070e-01   0.0000000e+00   4.9204099e-03   6.0521463e-02   0.0000000e+00
   4.4000000e+01   1.5233908e-01   3.6233369e-02   0.0000000e+00   5.4697883e-02   1.4443946e-01   2.0151744e-02   5.1692937e-02   0.0000000e+00   0.0000000e+00   1.6700060e-01   0.0000000e+00   1.3010614e-01   0.0000000e+00   5.1835396e-03   6.2946562e-02   0.0000000e+00
   4.5000000e+01   1.5467402e-01   3.7694627e-02   0.0000000e+00   5.6733702e-02   1.4666419e-01   2.0734448e-02   5.3462094e-02   0.0000000e+00   0.0000000e+00   1.6981695e-01   0.0000000e+00   1.3187721e-01   0.0000000e+00   5.4517512e-03   6.5397605e-02   0.0000000e+00
   4.6000000e+01   1.5696624e-01   3.9172042e-02   0.0000000e+00   5.8787457e-02   1.4885692e-01   2.1312995e-02   5.5235064e-02   0.0000000e+00   0.0000000e+00   1.7259339e-01   0.0000000e+00   1.3361487e-01   0.0000000e+00   5.7248509e-03   6.7873581e-02   0.0000000e+00
   4.7000000e+01   1.5921642e-01   4.0664939e-02   0.0000000e+00   6.0858457e-02   1.5101850e-01   2.1887144e-02   5.7010951e-02   0.0000000e+00   0.0000000e+00   1.7533052e-01   0.0000000e+00   1.3532004e-01   0.0000000e+00   6.0026453e-03   7.0373505e-02   0.0000000e+00
   4.8000000e+01   1.6142520e-01   4.2172657e-02   0.0000000e+00   6.2946031e-02   1.5314978e-01   2.2456673e-02   5.8788895e-02   0.0000000e+00   0.0000000e+00   1.7802896e-01   0.0000000e+00   1.3699362e-01   0.0000000e+00   6.2849408e-03   7.2896415e-02   0.0000000e+00
   4.9000000e+01   1.6359326e-01   4.3694548e-02   0.0000000e+00   6.5049531e-02   1.5525153e-01   2.3021377e-02   6.0568071e-02   0.0000000e+00   0.0000000e+00   1.8068931e-01   0.0000000e+00   1.3863645e-01   0.0000000e+00   6.5715447e-03   7.5441371e-02   0.0000000e+00
   5.0000000e+01   1.6572122e-01   4.5229977e-02   0.0000000e+00   6.7168328e-02   1.5732454e-01   2.3581070e-02   6.2347686e-02   0.0000000e+00   0.0000000e+00   1.8331217e-01   0.0000000e+00   1.4024937e-01   0.0000000e+00   6.8622653e-03   7.8007458e-02   0.0000000e+00
   5.1000000e+01   1.6780974e-01   4.6778324e-02   0.0000000e+00   6.9301810e-02   1.5936956e-01   2.4135580e-02   6.4126982e-02   0.0000000e+00   0.0000000e+00   1.8589813e-01   0.0000000e+00   1.4183318e-01   0.0000000e+00   7.1569119e-03   8.0593781e-02   0.0000000e+00
   5.2000000e+01   1.6985943e-01   4.8338983e-02   0.0000000e+00   7.1449388e-02   1.6138730e-01   2.4684750e-02   6.5905228e-02   0.0000000e+00   0.0000000e+00   1.8844778e-01   0.0000000e+00   1.4338865e-01   0.0000000e+00   7.4552955e-03   8.3199467e-02   0.0000000e+00
   5.3000000e+01   1.7187092e-01   4.9911361e-02   0.0000000e+00   7.3610486e-02   1.6337847e-01   2.5228437e-02   6.7681726e-02   0.0000000e+00   0.0000000e+00   1.9096169e-01   0.0000000e+00   1.4491651e-01   0.0000000e+00   7.7572287e-03   8.5823667e-02   0.0000000e+00
   5.4000000e+01   1.7384482e-01   5.1494878e-02   0.0000000e+00   7.5784547e-02   1.6534372e-01   2.5766512e-02   6.9455807e-02   0.0000000e+00   0.0000000e+00   1.9344043e-01   0.0000000e+00   1.4641749e-01   0.0000000e+00   8.0625261e-03   8.8465550e-02   0.0000000e+00
   5.5000000e+01   1.7578174e-01   5.3088967e-02   0.0000000e+00   7.7971031e-02   1.6728373e-01   2.6298858e-02   7.1226828e-02   0.0000000e+00   0.0000000e+00   1.9588456e-01   0.0000000e+00   1.4789228e-01   0.0000000e+00   8.3710043e-03   9.1124304e-02   0.0000000e+00
   5.6000000e+01   1.7768225e-01   5.4693075e-02   0.0000000e+00   8.0169412e-02   1.6919911e-01   2.6825371e-02   7.2994177e-02   0.0000000e+00   0.0000000e+00   1.9829464e-01   0.0000000e+00   1.4934154e-01   0.0000000e+00   8.6824822e-03   9.3799141e-02   0.0000000e+00
   5.7000000e+01   1.7954697e-01   5.6306662e-02   0.0000000e+00   8.2379179e-02   1.7109047e-01   2.7345957e-02   7.4757264e-02   0.0000000e+00   0.0000000e+00   2.0067122e-01   0.0000000e+00   1.5076592e-01   0.0000000e+00   8.9967813e-03   9.6489290e-02   0.0000000e+00
   5.8000000e+01   1.8137645e-01   5.7929202e-02   0.0000000e+00   8.4599838e-02   1.7295841e-01   2.7860532e-02   7.6515528e-02   0.0000000e+00   0.0000000e+00   2.0301483e-01   0.0000000e+00   1.5216604e-01   0.0000000e+00   9.3137256e-03   9.9193997e-02   0.0000000e+00
   5.9000000e+01   1.8317128e-01   5.9560179e-02   0.0000000e+00   8.6830906e-02   1.7480348e-01   2.8369024e-02   7.8268430e-02   0.0000000e+00   0.0000000e+00   2.0532601e-01   0.0000000e+00   1.5354251e-01   0.0000000e+00   9.6331418e-03   1.0191253e-01   0.0000000e+00
   6.0000000e+01   1.8493202e-01   6.1199091e-02   0.0000000e+00   8.9071915e-02   1.7662624e-01   2.8871367e-02   8.0015458e-02   0.0000000e+00   0.0000000e+00   2.0760527e-01   0.0000000e+00   1.5489591e-01   0.0000000e+00   9.9548594e-03   1.0464417e-01   0.0000000e+00
   6.1000000e+01   1.8665923e-01   6.2845450e-02   0.0000000e+00   9.1322410e-02   1.7842722e-01   2.9367507e-02   8.1756119e-02   0.0000000e+00   0.0000000e+00   2.0985314e-01   0.0000000e+00   1.5622679e-01   0.0000000e+00   1.0278711e-02   1.0738823e-01   0.0000000e+00
   6.2000000e+01   1.8835345e-01   6.4498779e-02   0.0000000e+00   9.3581948e-02   1.8020692e-01   2.9857398e-02   8.3489947e-02   0.0000000e+00   0.0000000e+00   2.1207011e-01   0.0000000e+00   1.5753571e-01   0.0000000e+00   1.0604532e-02   1.1014402e-01   0.0000000e+00
   6.3000000e+01   1.9001522e-01   6.6158611e-02   0.0000000e+00   9.5850097e-02   1.8196585e-01   3.0340999e-02   8.5216493e-02   0.0000000e+00   0.0000000e+00   2.1425669e-01   0.0000000e+00   1.5882318e-01   0.0000000e+00   1.0932160e-02   1.1291087e-01   0.0000000e+00
   6.4000000e+01   1.9164508e-01   6.7824495e-02   0.0000000e+00   9.8126439e-02   1.8370448e-01   3.0818280e-02   8.6935332e-02   0.0000000e+00   0.0000000e+00   2.1641337e-01   0.0000000e+00   1.6008973e-01   0.0000000e+00   1.1261438e-02   1.1568815e-01   0.0000000e+00
   6.5000000e+01   1.9324355e-01   6.9495987e-02   0.0000000e+00   1.0041057e-01   1.8542328e-01   3.1289214e-02   8.8646057e-02   0.0000000e+00   0.0000000e+00   2.1854063e-01   0.0000000e+00   1.6133583e-01   0.0000000e+00   1.1592211e-02   1.1847521e-01   0.0000000e+00
   6.6000000e+01   1.9481116e-01   7.1172660e-02   0.0000000e+00   1.0270208e-01   1.8712268e-01   3.1753785e-02   9.0348283e-02   0.0000000e+00   0.0000000e+00   2.2063894e-01   0.0000000e+00   1.6256196e-01   0.0000000e+00   1.1924326e-02   1.2127145e-01   0.0000000e+00
   6.7000000e+01   1.9634841e-01   7.2854093e-02   0.0000000e+00   1.0500060e-01   1.8880313e-01   3.2211978e-02   9.2041640e-02   0.0000000e+00   0.0000000e+00   2.2270877e-01   0.0000000e+00   1.6376859e-01   0.0000000e+00   1.2257635e-02   1.2407626e-01   0.0000000e+00
   6.8000000e+01   1.9785581e-01   7.4539878e-02   0.0000000e+00   1.0730574e-01   1.9046504e-01   3.2663789e-02   9.3725781e-02   0.0000000e+00   0.0000000e+00   2.2475059e-01   0.0000000e+00   1.6495616e-01   0.0000000e+00   1.2591992e-02   1.2688906e-01   0.0000000e+00
   6.9000000e+01   1.9933386e-01   7.6229620e-02   0.0000000e+00   1.0961715e-01   1.9210881e-01   3.3109214e-02   9.5400372e-02   0.0000000e+00   0.0000000e+00   2.2676483e-01   0.0000000e+00   1.6612511e-01   0.0000000e+00   1.2927256e-02   1.2970928e-01   0.0000000e+00
